CPF,Classificação,Valor 1,Valor 2,Valor 3,Valor 4
71971000560,Neutro, 49.0, 24.0, 33.0, 10.0
40307235992,Neutro, 66.0, 29.0, 46.0, 13.0
44826533081,Neutro, 52.0, 27.0, 39.0, 14.0
45735414894,Neutro, 59.0, 32.0, 48.0, 18.0
57137146514,Neutro, 61.0, 28.0, 40.0, 13.0
53657058251,Neutro, 63.0, 25.0, 49.0, 15.0
52941460485,Neutro, 61.0, 28.0, 47.0, 12.0
44306600683,Neutro, 64.0, 29.0, 43.0, 13.0
43460747924,Neutro, 66.0, 30.0, 44.0, 14.0
75590376075,Neutro, 68.0, 28.0, 48.0, 14.0
68267282206,Neutro, 67.0, 30.0, 50.0, 17.0
77567920298,Neutro, 60.0, 29.0, 45.0, 15.0
67600419504,Neutro, 57.0, 26.0, 35.0, 10.0
44902189811,Neutro, 55.0, 24.0, 38.0, 11.0
62966866614,Neutro, 55.0, 24.0, 37.0, 10.0
56182108880,Neutro, 58.0, 27.0, 39.0, 12.0
78299785392,Neutro, 60.0, 27.0, 51.0, 16.0
45206071878,Neutro, 54.0, 30.0, 45.0, 15.0
57381925887,Neutro, 60.0, 34.0, 45.0, 16.0
65654934891,Neutro, 67.0, 31.0, 47.0, 15.0
56130640481,Neutro, 63.0, 23.0, 44.0, 13.0
59667611672,Neutro, 56.0, 30.0, 41.0, 13.0
40349334385,Neutro, 55.0, 25.0, 40.0, 13.0
68422640081,Neutro, 55.0, 26.0, 44.0, 12.0
55245923439,Neutro, 61.0, 30.0, 46.0, 14.0
51286696873,Neutro, 58.0, 26.0, 40.0, 12.0
41065279767,Neutro, 50.0, 23.0, 33.0, 10.0
42866454119,Neutro, 56.0, 27.0, 42.0, 13.0
61962944542,Neutro, 57.0, 30.0, 42.0, 12.0
48623501235,Neutro, 57.0, 29.0, 42.0, 13.0
49475220139,Neutro, 62.0, 29.0, 43.0, 13.0
52245218531,Neutro, 51.0, 25.0, 30.0, 11.0
50932926697,Neutro, 57.0, 28.0, 41.0, 13.0
47432932248,Detrator, 63.0, 33.0, 60.0, 25.0
39321991579,Detrator, 58.0, 27.0, 51.0, 19.0
46283759608,Detrator, 71.0, 30.0, 59.0, 21.0
56996272538,Detrator, 63.0, 29.0, 56.0, 18.0
77232189978,Detrator, 65.0, 30.0, 58.0, 22.0
77183282421,Detrator, 76.0, 30.0, 66.0, 21.0
42857147573,Detrator, 49.0, 25.0, 45.0, 17.0
39331584043,Detrator, 73.0, 29.0, 63.0, 18.0
48130345228,Detrator, 67.0, 25.0, 58.0, 18.0
71422443953,Detrator, 72.0, 36.0, 61.0, 25.0
72508507904,Detrator, 69.0, 32.0, 57.0, 23.0
41188727558,Detrator, 56.0, 28.0, 49.0, 20.0
61358776640,Detrator, 77.0, 28.0, 67.0, 20.0
66934042323,Detrator, 63.0, 27.0, 49.0, 18.0
40622495567,Detrator, 67.0, 33.0, 57.0, 21.0
57221661311,Detrator, 72.0, 32.0, 60.0, 18.0
45159362930,Detrator, 62.0, 28.0, 48.0, 18.0
45018975174,Detrator, 61.0, 30.0, 49.0, 18.0
70685429140,Detrator, 64.0, 28.0, 56.0, 21.0
61808723477,Detrator, 72.0, 30.0, 58.0, 16.0
56363906548,Detrator, 74.0, 28.0, 61.0, 19.0
39646194720,Detrator, 79.0, 38.0, 64.0, 20.0
55385494438,Detrator, 64.0, 28.0, 56.0, 22.0
75796138061,Detrator, 63.0, 28.0, 51.0, 15.0
53595767857,Detrator, 61.0, 26.0, 56.0, 14.0
48758828080,Detrator, 77.0, 30.0, 61.0, 23.0
58387651356,Detrator, 63.0, 34.0, 56.0, 24.0
72846931192,Detrator, 64.0, 31.0, 55.0, 18.0
47046896346,Detrator, 60.0, 30.0, 48.0, 18.0
69730292799,Detrator, 69.0, 31.0, 54.0, 21.0
48177836349,Detrator, 67.0, 31.0, 56.0, 24.0
57976326635,Detrator, 69.0, 31.0, 51.0, 23.0
55710813002,Detrator, 58.0, 27.0, 51.0, 19.0
64028580439,Detrator, 68.0, 32.0, 59.0, 23.0
49962942971,Detrator, 67.0, 33.0, 57.0, 25.0
47250893163,Detrator, 67.0, 30.0, 52.0, 23.0
75559276274,Detrator, 63.0, 25.0, 50.0, 19.0
58529878272,Detrator, 65.0, 30.0, 52.0, 20.0
76005896622,Detrator, 62.0, 34.0, 54.0, 23.0
49212614633,Detrator, 59.0, 30.0, 51.0, 18.0
